Date,Close,Volume,Open,High,Low,Asset_Name,MA_7,MA_30,Daily_Return,Volatility_7,Day,Month,Year,DayOfWeek,Quarter,Close_lag1,Close_lag2,Close_lag7,EMA_7,Price_Range,Open_Close_Diff,Rolling_STD_7
2020-02-06,49.9307,598210951,46.6614,53.0554,45.8,Tesla,47.83898571428572,36.38260333333333,0.0194099632503064,0.1186605498743022,6,2,2020,3,1,48.98,59.1374,37.7934,48.08207457338529,7.255400000000002,-3.269300000000001,6.827957207791254
2020-02-07,49.8714,255952672,48.7034,51.3167,48.6667,Tesla,49.43022857142857,37.09998333333333,-0.0011876460774633,0.1198617638689918,7,2,2020,4,1,49.9307,48.98,38.7327,48.52940593003897,2.6499999999999986,-1.1679999999999993,5.525816520272294
2020-02-10,51.4187,370337215,53.3334,54.666,50.16,Tesla,50.6728,37.85629666666667,0.0310257983533648,0.1169094133008073,10,2,2020,0,1,49.8714,49.9307,42.7207,49.25172944752923,4.506,1.9146999999999963,4.678608197245546
2020-02-11,51.6254,175461962,51.2527,52.2338,50.5334,Tesla,51.85194285714287,38.62074333333333,0.0040199382714849,0.1172649314957971,11,2,2020,1,1,51.4187,49.8714,43.3714,49.84514708564693,1.700400000000002,-0.3727000000000018,3.396091077428624
2020-02-12,51.1527,180336960,51.858,52.65,50.8914,Tesla,51.730900000000005,39.40427666666667,-0.0091563455198409,0.091075520781146,12,2,2020,2,1,51.6254,51.4187,52.0,50.172035314235195,1.7586000000000013,0.705299999999994,3.4050224590546403
2020-02-13,53.6,394340053,49.456,54.5334,49.0,Tesla,50.939842857142864,40.26132,0.0478430268587972,0.0733952231722303,13,2,2020,3,1,51.1527,51.6254,59.1374,51.0290264856764,5.5334,-4.143999999999998,1.5177812983179406
2020-02-14,53.3354,235405532,52.4814,54.198,52.3667,Tesla,51.562042857142856,41.08303333333333,-0.0049365671641791,0.0211042786186595,14,2,2020,4,1,53.6,51.1527,48.98,51.60561986425729,1.8312999999999988,-0.8539999999999992,1.4725114904555627
2020-02-18,57.2267,250475425,56.1067,57.3334,55.4907,Tesla,52.604328571428574,42.006123333333335,0.0729590478368964,0.0312986174854755,18,2,2020,1,1,53.3354,53.6,49.9307,53.01088989819297,1.8427000000000007,-1.1200000000000045,2.4094357912965356
2020-02-19,61.1614,381344209,61.5667,62.9854,60.068,Tesla,54.21718571428572,43.04141333333334,0.068756367220196,0.0343891238770428,19,2,2020,2,1,57.2267,53.3354,49.8714,55.048517423644725,2.9174000000000007,0.4052999999999969,3.705349752015546
2020-02-20,59.9607,264523218,60.7967,60.8,57.3294,Tesla,55.43747142857143,43.99774666666667,-0.019631663107777,0.0391550841515836,20,2,2020,3,1,61.1614,57.2267,51.4187,56.27656306773354,3.4705999999999975,0.8359999999999985,4.023067946113681
2020-02-21,60.0667,215091642,60.4654,60.8707,58.6967,Tesla,56.64337142857143,44.906326666666665,0.0017678245917742,0.0393442586089048,21,2,2020,4,1,59.9607,61.1614,51.6254,57.22409730080015,2.1739999999999995,0.39870000000000516,3.9545113291506246
2020-02-24,55.586,227882286,55.9334,57.5667,54.8134,Tesla,57.276700000000005,45.68955,-0.0745954081046569,0.0533906460088042,24,2,2020,0,1,60.0667,59.9607,51.1527,56.814572975600115,2.753299999999996,0.3474000000000004,3.2143372868031457
2020-02-25,53.3274,259357070,56.6,57.1067,52.4667,Tesla,57.23775714285714,46.40457333333334,-0.0406325333717123,0.0542784386313127,25,2,2020,1,1,55.586,60.0667,53.6,55.942779731700085,4.6399999999999935,3.272600000000004,3.26751732811373
2020-02-26,51.92,212307494,52.1667,54.2207,51.7407,Tesla,57.03555714285714,46.96888333333333,-0.0263916860750758,0.0552356864530063,26,2,2020,2,1,53.3274,55.586,53.3354,54.93708479877506,2.480000000000004,0.24669999999999703,3.5782671042731695
2020-02-27,45.2667,364157218,48.6667,49.318,44.6,Tesla,55.32698571428572,47.28239333333333,-0.1281452234206471,0.0613807484913116,27,2,2020,3,1,51.92,53.3274,57.2267,52.5194885990813,4.717999999999996,3.3999999999999986,5.698814516905685
2020-02-28,44.5327,368462366,41.98,46.0347,40.768,Tesla,52.95145714285714,47.61459333333334,-0.0162150101509498,0.0443394812982722,28,2,2020,4,1,45.2667,51.92,61.1614,50.52279144931098,5.2667,-2.5527000000000015,6.29594027207403
2020-03-02,49.5747,302924699,47.4174,49.5794,45.778,Tesla,51.46774285714286,48.12599333333333,0.1132201730413831,0.0744324841744894,2,3,2020,0,1,44.5327,45.2667,59.9607,50.28576858698324,3.801400000000001,-2.1572999999999993,5.548217885909279
2020-03-03,49.7007,386759807,53.6667,53.7987,47.7407,Tesla,49.98688571428571,48.64823666666667,0.0025416190113101,0.0744784318606626,3,3,2020,1,1,49.5747,44.5327,60.0667,50.139501440237424,6.058,3.966000000000001,4.052286219501501
2020-03-04,49.9667,225734587,50.9307,51.1014,48.3157,Tesla,49.184128571428566,49.097793333333335,0.0053520372952495,0.0715558618630252,4,3,2020,2,1,49.7007,49.5747,55.586,50.096301080178065,2.7856999999999985,0.9639999999999986,3.231757393284265
2020-03-05,48.3027,162789819,48.2514,49.7167,47.8714,Tesla,48.46631428571429,49.44219333333333,-0.0333021792513814,0.071134691359145,5,3,2020,3,1,49.9667,49.7007,53.3274,49.64790081013355,1.8453000000000017,-0.051300000000004786,2.6667380776450123
2020-03-06,46.8987,189943705,46.0003,47.1334,45.618,Tesla,47.74898571428572,49.73392666666666,-0.0290666981348869,0.0712329571954397,6,3,2020,4,1,48.3027,49.9667,51.92,48.96060060760016,1.5153999999999996,-0.8983999999999952,2.2209794921974924
