Date,Volume,Open,High,Low,Close
2016-09-06,65792862,13.268,13.55,13.2667,13.522
2016-09-07,54568743,13.7,13.7665,13.3807,13.4473
2016-09-08,50584370,13.3033,13.326,13.0907,13.1573
2016-09-09,56305982,13.2727,13.328,12.9133,12.9647
2016-09-12,55710707,13.0,13.4246,12.94,13.22
2016-09-13,53747073,13.1373,13.2327,12.8967,13.07
2016-09-14,33842128,13.05,13.195,12.9904,13.094
2016-09-15,46244107,13.0993,13.5013,13.0933,13.3613
2016-09-16,46563967,13.3613,13.7133,13.2667,13.6933
2016-09-19,34474753,13.8,13.962,13.6667,13.756
2016-09-20,36128322,13.79,13.85,13.594,13.6427
2016-09-21,39469255,13.758,13.8,13.4373,13.6813
2016-09-22,35723982,13.76,13.8187,13.5333,13.762
2016-09-23,43561853,13.7327,14.012,13.7113,13.83
2016-09-26,35900577,13.7667,14.0667,13.7667,13.9327
2016-09-27,50518580,13.9767,13.9988,13.6406,13.7207
2016-09-28,31189844,13.834,13.8833,13.684,13.7513
2016-09-29,40710580,13.7067,13.822,13.372,13.38
2016-09-30,38725931,13.4807,13.6653,13.3033,13.602
2016-10-03,89840085,14.1533,14.3779,13.8833,14.2467
2016-10-04,53069268,14.2067,14.2213,13.9213,14.094
2016-10-05,28086826,14.1493,14.21,13.8747,13.8973
2016-10-06,70469020,13.4973,13.614,13.3473,13.4
2016-10-07,52342174,13.4,13.4213,13.0533,13.1073
2016-10-10,49670075,13.4233,13.6093,13.3107,13.3967
2016-10-11,34901293,13.4567,13.48,13.2207,13.34
2016-10-12,29536470,13.3967,13.592,13.3613,13.434
2016-10-13,37427081,13.3667,13.393,13.1367,13.3493
2016-10-14,63982033,13.3773,13.4287,13.0867,13.1007
2016-10-17,67774931,13.1367,13.226,12.8,12.9307
2016-10-18,85140647,13.066,13.298,12.884,13.2733
2016-10-19,104492723,13.316,13.7773,13.204,13.5707
2016-10-20,76041112,13.4747,13.5333,13.1367,13.2733
2016-10-21,44053598,13.24,13.438,13.1607,13.3393
2016-10-24,41210139,13.4,13.5964,13.35,13.5173
2016-10-25,36631752,13.5267,13.646,13.4133,13.4893
2016-10-26,80203355,13.4,13.546,13.34,13.4827
2016-10-27,196064752,14.0893,14.2467,13.4433,13.6007
2016-10-28,64101808,13.6,13.688,13.322,13.3313
2016-10-31,70369765,13.4993,13.4993,13.054,13.182
2016-11-01,105355057,13.2027,13.2333,12.5403,12.7193
2016-11-02,63633718,12.67,12.8463,12.5003,12.5347
2016-11-03,39668230,12.6,12.7647,12.4693,12.4947
2016-11-04,77158686,12.6,12.8973,12.3973,12.704
2016-11-07,57865201,12.906,12.9527,12.67,12.8807
