Date,Open,High,Low,Close,Volume,Asset_Name
2017-08-28,37.5769,38.0144,37.5286,37.8871,109508983,Apple
2017-08-29,37.5699,38.288,37.5451,38.2357,125530810,Apple
2017-08-30,38.4361,38.4579,38.1616,38.3374,116007821,Apple
2017-08-31,38.4007,38.6031,38.3671,38.4827,113975613,Apple
2017-09-01,38.6693,38.7037,38.3977,38.4924,70635071,Apple
2017-09-05,38.4262,38.5399,37.6786,38.0323,125733357,Apple
2017-09-06,38.1862,38.2554,37.6717,37.9926,92098297,Apple
2017-09-07,38.0343,38.0717,37.6321,37.8436,93355111,Apple
2017-09-08,37.7477,37.8169,37.2084,37.2313,121130876,Apple
2017-09-11,37.6658,38.0244,37.5188,37.8948,134305093,Apple
2017-09-12,38.1616,38.4728,37.2578,37.7477,305145734,Apple
2017-09-13,37.5148,37.5364,37.0584,37.4595,191199236,Apple
2017-09-14,37.3083,37.401,37.1007,37.1473,100738402,Apple
2017-09-15,37.1936,37.7743,37.0791,37.5168,208164235,Apple
2017-09-18,37.5729,37.6658,37.0791,37.2412,119997714,Apple
2017-09-19,37.4267,37.4888,37.1857,37.2508,87760085,Apple
2017-09-20,37.0565,37.1433,36.0974,36.6258,222440002,Apple
2017-09-21,36.5644,36.5644,35.8474,35.9926,159247044,Apple
2017-09-22,35.6717,35.7309,35.3348,35.6449,198508674,Apple
2017-09-25,35.1987,35.6302,35.003,35.3318,189071985,Apple
2017-09-26,35.6184,36.1161,35.5956,35.9423,156077918,Apple
2017-09-27,36.0895,36.3068,36.0263,36.1912,108253174,Apple
2017-09-28,36.1081,36.2041,35.8357,35.971,93683292,Apple
2017-09-29,35.9591,36.1664,35.6677,36.1644,111925176,Apple
2017-10-02,36.1981,36.2454,35.8406,36.0915,79613902,Apple
2017-10-03,36.1369,36.3937,36.1131,36.2474,69115939,Apple
2017-10-04,36.048,36.1012,35.7773,36.0114,85721573,Apple
2017-10-05,36.1783,36.4787,36.1468,36.4658,90619573,Apple
2017-10-06,36.3659,36.4886,36.2702,36.443,74087107,Apple
2017-10-09,36.5674,36.775,36.4886,36.5744,69220831,Apple
2017-10-10,36.6228,37.0791,36.3957,36.5891,66493457,Apple
2017-10-11,36.606,36.8332,36.5518,36.7344,71938645,Apple
2017-10-12,36.686,36.9302,36.5478,36.61,69805990,Apple
2017-10-13,36.775,36.9083,36.7009,36.8362,69774852,Apple
2017-10-16,37.0565,37.5451,36.9992,37.5168,102682802,Apple
2017-10-17,37.4918,37.7497,37.3646,37.6588,80848237,Apple
2017-10-18,37.646,37.7132,37.4486,37.4869,69274593,Apple
2017-10-19,36.7798,36.8588,36.3789,36.608,180626025,Apple
2017-10-20,36.7492,37.0207,36.603,36.6613,101896438,Apple
2017-10-23,36.8134,37.009,36.4904,36.6464,93580226,Apple
2017-10-24,36.6712,36.9417,36.6514,36.8628,75163472,Apple
2017-10-25,36.8192,36.9744,36.436,36.7009,90245165,Apple
2017-10-26,36.8953,37.0385,36.7867,36.9397,72156607,Apple
2017-10-27,37.3794,38.3908,37.2449,38.2702,189210862,Apple
2017-10-30,38.4579,39.4415,38.4194,39.1227,190486558,Apple
2017-10-31,39.4011,39.808,39.172,39.6718,153608891,Apple
2017-11-01,39.8625,39.8791,38.8657,39.1591,143342979,Apple
2017-11-02,39.339,39.5414,38.7858,39.4514,176392502,Apple
2017-11-03,40.8334,40.8956,40.1547,40.4776,253119578,Apple
2017-11-06,40.4462,41.0633,40.2999,40.8926,148194385,Apple
2017-11-07,40.8116,41.095,40.8116,41.0199,103710629,Apple
2017-11-08,40.9883,41.3586,40.9121,41.3586,103822256,Apple
2017-11-09,41.091,41.3271,40.6298,41.2747,125400635,Apple
2017-11-10,41.2401,41.3073,41.0417,41.1344,106706753,Apple
2017-11-13,40.8628,41.093,40.8381,40.9746,72009276,Apple
